1,Lo Signal ,1,,
2,Ecolibrium,1,,
3,Aack!!,0,,
4,Adventures in Music,1,,
6,All Da Way Live Radio ,1,,
7,All Things McGill,1,,
8,Amandla,1,,
9,Anything Goes,1,,
10,Out of Lines,1,Voices of Montreal,Art Scene and Heard
11,Audio Smut,1,,
12,Basabasa Soukousoundz,1,,
13,Bhum Bhum Time,1,,
14,Bluegrass Rambling,1,,
15,Butcher T's Noon Time Cuts ,1,,
16,Cabelli Présente,1,,
18,Café,1,,
19,Caravan,1,,
20,Cha Cha in Blue,1,,
21,Chaud pour le Mont-Stone,1,,
22,Country Classics,1,,
23,Desi Beats,1,,
24,Digital Decaydio,0,,
25,Drastic Plastic,1,,
26,Dromotexte,1,,
27,Dykes on Mykes,1,,
28,ESL (Easy Sonic Living),1,,
30,En Profondeur ,1,,
31,Folk Directions,1,,
32,Francis et les Exerciseurs,1,,
33,Free City Radio,1,,
34,Free Kick,1,,
35,Full Circle ,1,,
36,Funky Revolutions,1,,
37,Future Classic Radio,1,,
38,Grey Matters,1,,
39,Harvey Christ Radio Hour,1,,
40,Health on Earth,1,,
41,Hotel du Blues ,1,,
42,If You Got Ears,1,,
43,Ill Groove Garden,1,,
44,In the Motherhood,1,,
45,International Radio Report,1,,
46,Jazz Amuck,1,,
47,Jazz Euphorium,1,,
48,John Abbott on the Air,1,,
49,L'Air(e) du Diable,1,Aire du Diable,Air du Diable
51,Latin Music Mondays,1,,
52,Latin Time / Tiempo Latina,1,,
53,LegalEase,1,,
54,Lendemain de la Veille,1,,
55,Lesbo-Sons,1,,
56,Listen! You Smell Something?,1,Listen You Smell Something,
57,Listening to Latin America,1,,
59,Macondo,1,,
60,Made in Brazil,1,,
61,Masters at Work,1,,
62,"Mind, Soul & Spirit",1,Mind Soul and Spirit,
63,Modular Systems,1,,
64,Montreal Sound Ark,1,,
65,Native Solidarity News,1,,
66,NewBorn Reggae Ting ,1,,
67,New Shit,1,,
68,Night Train,0,,
69,O Stories,1,,
70,Off the Hook,1,,
71,Off the Hour: Friday,1,Off the Hour Friday Edition,
73,Off the Hour: Tuesday,1,Off the Hour Tuesday Edition,
74,Off the Hour: Avalanche,1,Off the Hour Wednesday Edition,
75,OWL (Older Women Live),1,,
76,Pir@te et Libres,1,Pirate et Libres,
77,Positive Vibes ,1,,
78,Prison Radio,1,Off the Hour Thursday Edition,
79,Psychodélices,0,,
80,Québec-Acadie en Musique,1,,
81,QueerCorps,1,,
82,Radio is Dead?,1,Radio is Dead,
83,Radio Moon,1,Voices of Montreal,
84,Rebel Beat,0,,
85,"Roots, Rock, Reggae",1,Roots Rock Reggae,Roots Rock and Reggae
86,Samedi Midi,1,Samedi Midi Inter,
87,Shtetl on the Shortwave,1,,
88,Sigaw ng Bayan ,0,,
89,Skewing the Waves,1,,
90,Soca Sessions,1,,
91,Soul Perspectives,1,,
92,Sound of Soul,1,,
93,Sounds of Steel,0,,
94,Space Plane,1,,
95,Spitfiyah,1,,
96,Stereophobic,1,,
97,Superwax,1,,
99,Terminal 5,1,,
100,27th Hour,1,The 27th Hour,
101,Friday Morning After,1,The Friday Morning After,
102,The Goods,1,,
103,The Groundbreakers,1,,
104,The Kitchen Bang Bang Law,1,,
105,Monday Morning After,1,,
106,The Montreal Sessions ,1,,
107,The Suite Delight,1,,
108,Tuesday Morning After,1,The Tuesday Morning After,
109,Wednesday Morning After,1,The Wednesday Morning After,
110,The Weekend Groove,1,,
111,Total Eclipse of the Charts,1,,
112,Tranzister Radio,1,Voices of Montreal,
113,Under the Olive Tree,1,,
114,Underground Sounds,1,,
115,Upstage,1,,
116,Utopia's Paradise,1,,
117,Venus,1,,
118,VOKO (Voice of Korea),1,VOKO Voice of Korea,
119,WEFUNK,1,We Funk,
120,West Indian Rhythms ,1,,
121,Where's the Beat?,0,Wheres the Beat?,
122,William Shatner's Whiskey Tears ,1,,
123,World Skip the Beat,1,,
124,XX Files,1,,
125,You Need a Heart to Live,1,,
126,Your Radio Is Broken,1,,
128,Pirate Bloc Radio,1,,
130,Gotsoul Sessions,1,,
132,Metallic Montreal,1,,
133,Howls from Hell,1,,
134,Sleepy King,1,,
135,The Long and Short of It,1,,
136,The Mash Time Show,1,The Mash time Show with DJ Smokey the Vybz Specialist,
137,Nipivut,1,,
138,Ève et Pandore,1,Ève & Pandore,
139,Treyf,1,Voices of Montreal,
141,No One Is Illegal,1,Off the Hour Thursday Edition,
142,Labour Radio,1,Off the Hour Thursday Edition,
143,La Voix des Immigrants,1,Off the Hour Thursday Edition,
